brand;product_notes;ref_article;gtin;product_name;updated_at;quantity;product_description;product_image
IDTOLIGHT;Kit;IDTL000009BZE;5404023014504;Kit OLINDA 3000K IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL000010BZD;5404023014511;Kit OLINDA 4000K IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001102BZX;5404023013415;Kit PIANA RGB+ 4000 IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001105BZX;5404023013439;Kit PIANA RGB+ 3000 IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001122BZX;5404023013446;Kit PIANA RGB+ 4000 IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001125BZX;5404023013453;Kit PIANA RGB+ 3000 IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001242BZD;5404023013514;Kit HABANA 2.0 4000K IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL001245BZE;5404023013521;Kit HABANA 2.0 3000K IP20;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL002242BZD;5404023013576;Kit HABANA 2.0 4000K IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;Kit;IDTL002245BZE;5404023013583;Kit HABANA 2.0 3000K IP67;01.02.26;1;Rubans LED;
IDTOLIGHT;Accessoires;IDTL106100ZZZ;5404023001801;Relais DC24V - absorption crête de courant IP44;01.02.26;1;Accessoires;
IDTOLIGHT;Accessoires;IDTL118001ZZZ;5404023000088;Micro connecteur étanche STEAB ;01.02.26;1;Accessoires;
IDTOLIGHT;Accessoires;IDTL118002ZZZ;5404023000095;Mini connecteur étanche STEAB ;01.02.26;1;Accessoires;
IDTOLIGHT;Accessoires;IDTL118003ZZZ;5404023000101;Connecteur étanche STEAB;01.02.26;1;Accessoires;
IDTOLIGHT;LOS ANGELES;IDTL121001ZZZ;5404023002945;Joint d'étanchéité à l'air;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SORIO;IDTL150504NEZ;5404023015327;SORIO Suspension E27 Noir;01.02.26;1;Suspensions intérieur;
IDTOLIGHT;BOMBAY;IDTL160505ZZZ;5404023015334;Borne pour BOMBAY Blanc;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BOMBAY;IDTL160506ZZZ;5404023015341;Borne pour BOMBAY effet Corten;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BOMBAY;IDTL160507ZZZ;5404023015358;Borne pour BOMBAY Gris foncé;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BELOEIL 2.0;IDTL170518ZZZ;5404023015464;Abat-jour pour BELOEIL S38 feutre PET;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BELOEIL 2.0;IDTL170519ZZZ;5404023015471;Abat-jour pour BELOEIL S60 feutre PET;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BELOEIL 2.0;IDTL170520ZZZ;5404023015488;Abat-jour pour BELOEIL S80 feutre PET;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;BELOEIL 2.0;IDTL170521ZZZ;5404023015495;Abat-jour pour BELOEIL S2 48 feutre PET;01.02.26;1;Abat-jour spéciaux;
IDTOLIGHT;SAN MARINO;IDTL211001IBC;5425025774630;SAN MARINO R Spot Encastré 3000K Aluminium brossé Lamelles 350 mA 3,5W IP20;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL211002IBD;5425025774647;SAN MARINO R Spot Encastré 4000K Aluminium brossé Lamelles 350 mA 3,5W IP20;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL211003BBC;5425025774678;SAN MARINO R Spot Encastré 3000K Blanc Lamelles 350 mA 3,5W IP20;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL211004BBD;5425025774685;SAN MARINO R Spot Encastré 4000K Blanc Lamelles 350 mA 3,5W IP20;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL211005NBC;5404023007223;SAN MARINO R Spot Encastré 3000K Noir Lamelles 350 mA 3,5W IP20;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL218003IBZ;5404023001245;Bague aluminium saillie pour SAN MARINO applique ronde;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL218004BBZ;5404023007230;Bague blanche saillie pour SAN MARINO applique ronde;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;SAN MARINO;IDTL218005NBZ;5404023007247;Bague noire saillie pour SAN MARINO applique ronde;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;Alimentations;IDTL220064ZZZ;5404023010650;Alim. LED 60W DC24V Dimmable DALI IP67;01.02.26;1;Alimentations MW;
IDTOLIGHT;Alimentations;IDTL220065ZZZ;5404023010667;Alim. LED 90W DC24V Dimmable DALI IP67;01.02.26;1;Alimentations MW;
IDTOLIGHT;Alimentations;IDTL220066ZZZ;5404023010674;Alim. LED 120W DC24V Dimmable DALI IP67;01.02.26;1;Alimentations MW;
IDTOLIGHT;Alimentations;IDTL220067ZZZ;5404023010681;Alim. LED 200W DC24V Dimmable DALI IP67;01.02.26;1;Alimentations MW;
